id	time_mark	milestone	highlight
1	2028	NA	NA
2	NA	On 3nd October, 2025, I turned 33 years old. Version 34, Darkbeam.	NA
3	NA	On 1st July, 2025, I quite the doctorate project.	NA
4	2025	NA	NA
5	NA	On 3nd October, 2024, I turned 32 years old. Version 33, Littlewonder.	NA
6	NA	On 3nd October, 2023, I turned 31 years old. Version 32, Softwind.	NA
7	NA	On 3nd October, 2022, I turned 30 years old. Version 31, Circleend.	NA
8	2022	NA	NA
9	NA	NA	Began learning violin.
10	NA	On May 1st, 2021, I started my second job as a research assistant at Westlake University.	NA
11	NA	NA	Learned basic of skateboard.
12	NA	In October 2019, I quit my job and moved to Yantai to live a jobless life for 9 months, during which time I focused on learning math and computer-related topics.	NA
13	NA	On October 3rd, 2019, I turned 28 years old. Version 29.	NA
14	2019	NA	NA
15	NA	Had my first job as a research assitant in Institute of Microbiology.	NA
16	NA	I graduated from BNU	I got my master degree.
17	NA	In October 2016, I decided to change my major and began studying bioinformatics.	NA
18	NA	On October 3rd, 2016, I was 27 years old. Version 28.	NA
19	2016	NA	NA
20	NA	In July 2015, I graduated from IMU and went to Beijing Normal University in the same year.	Got my bachelor degree.
21	2013	NA	NA
22	NA	Proved L'Hopital's Rule independently.	NA
23	NA	NA	Near the end of my 1st year in university, I recovered from a severe illness, and I still don't know the cause of it.
24	NA	In September 2011, I started attending Inner Mongolia University.	NA
25	NA	In Oct 2010, I was 18 years old.	NA
26	2010	NA	NA
27	NA	NA	In 2nd grade, we organized a student campaign to reject summer and winter holiday homework.
28	NA	In 2008, I went to high school.	NA
29	2007	NA	NA
30	NA	NA	In 2nd grade, I won an award for painting.
31	NA	In July 2005, I graduated from primary school and went to middle school in the same year.	NA
32	NA	NA	In 6th grade, I received my first academic award for achieving a good grade in math.
33	2004	NA	NA
34	NA	In 3rd grade, our school shut down, and we moved to a new school where I met my old friends. They are important to me.	NA
35	NA	NA	In 3rd grade, I rolled down a hill and injured my right wrist. I was very ill, but I survived.
36	2001	NA	NA
37	NA	In September 1999, I went to primary school.	NA
38	1998	NA	NA
39	1995	NA	NA
40	1992	I was born on October 3rd, 1992.	What an important.
